id,Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information,Business Associate Present,Web Description
45,"Tufts Associated Health Maintenance Organization, Inc.",MA,Health Plan,70320,02/16/2018,Unauthorized Access/Disclosure,Paper/Films,No,
46,"Partners HealthCare System, Inc.",MA,Healthcare Provider,2450,02/05/2018,Hacking/IT Incident,Desktop Computer,No,
47,CarePlus Health Plan [case #HU1800066],KY,Health Plan,11248,02/05/2018,Unauthorized Access/Disclosure,Paper/Films,No,
48,City of Detroit,MI,Healthcare Provider,544,02/05/2018,Loss,Other Portable Electronic Device,No,
49,Ron's Pharmacy Services ,CA,Healthcare Provider,6781,02/02/2018,Hacking/IT Incident,Email,No,
50,Eastern Maine Medical Center,ME,Healthcare Provider,660,02/02/2018,Theft,Other Portable Electronic Device,No,
51,"Triple-S Advantage, Inc. ",,Health Plan,36305,02/02/2018,Unauthorized Access/Disclosure,Paper/Films,No,
52,"Coastal Cape Fear Eye Associates, P.A.",NC,Healthcare Provider,925,02/01/2018,Hacking/IT Incident,"Desktop Computer, Network Server",No,
53,Forrest General Hospital,MS,Healthcare Provider,1670,02/01/2018,Hacking/IT Incident,Email,No,
54,QuadMed,WI,Healthcare Provider,4549,01/29/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No,
55,"Steven Yang, D.D.S., INC.",CA,Healthcare Provider,3202,01/26/2018,Theft,Laptop,No,
56,Decatur County General Hospital,TN,Healthcare Provider,24000,01/26/2018,Hacking/IT Incident,Network Server,No,
57,"Rocky Mountain Women's Health Center, Inc.",UT,Healthcare Provider,1123,01/25/2018,Improper Disposal,Paper/Films,No,
58,"Zachary E. Adkins, DDS",NM,Healthcare Provider,3677,01/25/2018,Theft,Other Portable Electronic Device,No,
59,Central States Southeast and Southwest Areas Health and Welfare Fund,IL,Health Plan,634,01/23/2018,Unauthorized Access/Disclosure,Paper/Films,No,
60,"RGH Enterprises, Inc.",OH,Healthcare Provider,4586,01/22/2018,Unauthorized Access/Disclosure,Paper/Films,No,
61,"Robert Smith DMD, PC",TN,Healthcare Provider,1500,01/22/2018,Hacking/IT Incident,Network Server,No,
62,"Westminster Ingleside King Farm Presbyterian Retirement Communities, Inc.",MD,Healthcare Provider,5228,01/19/2018,Hacking/IT Incident,"Desktop Computer, Network Server",No,
63,The Pediatric Endocrinology and Diabetes Specialists,NV,Healthcare Provider,1021,01/18/2018,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Laptop",No,
64,Gillette Medical Imaging,WY,Healthcare Provider,4476,01/18/2018,Unauthorized Access/Disclosure,Paper/Films,No,
65,High Plains Surgical Associates,WY,Healthcare Provider,607,01/15/2018,Unauthorized Access/Disclosure,Paper/Films,No,
66,Western Washington Medical Group Inc.,WA,Healthcare Provider,842,01/12/2018,Improper Disposal,Paper/Films,No,
67,"Pedes Orange County, Inc.",CA,Healthcare Provider,917,01/12/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No,
68,Onco360 and CareMed Specialty Pharmacy ,KY,Healthcare Provider,53173,01/12/2018,Hacking/IT Incident,Email,No,
69,Alicia Ann Oswald,CA,Healthcare Provider,800,01/09/2018,Unauthorized Access/Disclosure,Email,No,
70,Palomar Health (Palomar Medical Center (Escondido),CA,Healthcare Provider,1309,01/08/2018,Unauthorized Access/Disclosure,Electronic Medical Record,No,
71,"Charles River Medical Associates, pc",MA,Healthcare Provider,9387,01/08/2018,Loss,Other Portable Electronic Device,No,
72,"DJO, LLC",CA,Healthcare Provider,1203,01/06/2018,Loss,Paper/Films,No,
73,Agency for Health Care Administration,FL,Health Plan,30000,01/05/2018,Hacking/IT Incident,Email,No,
74,Oklahoma State University Center for Health Sciences,OK,Healthcare Provider,279865,01/05/2018,Hacking/IT Incident,Network Server,No,
75,Penn Medicine,PA,Healthcare Provider,1050,01/02/2018,Theft,Laptop,No,
76,SSM Health,MO,Healthcare Provider,29579,12/28/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
77,"Miracle-Ear, Inc. and Amplifon (USA), Inc.",MN,Business Associate,554,12/28/2017,Unauthorized Access/Disclosure,Other,Yes,
78,"Longs Peak Family Practice, P.C.",CO,Healthcare Provider,16238,12/27/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No,
79,Colorado Department of Human Services,CO,Healthcare Provider,639,12/27/2017,Hacking/IT Incident,Desktop Computer,No,
80,UnitedHealthcare Community Plan of Pennsylvania ,PA,Business Associate,614,12/27/2017,Unauthorized Access/Disclosure,Paper/Films,Yes,
81,Blue Cross Blue Shield of Massachusetts,MA,Health Plan,1843,12/26/2017,Unauthorized Access/Disclosure,Email,No,
82,"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,638,12/22/2017,Unauthorized Access/Disclosure,Paper/Films,No,
83,SAY San Diego,CA,Healthcare Provider,1272,12/22/2017,Loss,Paper/Films,No,
84,"BEE Reno Dental, LLC",NV,Healthcare Provider,3898,12/20/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No,
85,"Absolute Dental Hygiene, LLC",OR,Healthcare Provider,871,12/20/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,
86,Dignity Health Medical Foundation,CA,Healthcare Provider,2189,12/19/2017,Unauthorized Access/Disclosure,Paper/Films,No,
87,"Sheldon M. Golden O.D., Optometric Corporation",CA,Healthcare Provider,7583,12/19/2017,Hacking/IT Incident,Network Server,No,
88,MidMichigan Medical Center-Alpena,MI,Healthcare Provider,1900,12/19/2017,Loss,Paper/Films,No,
89,Emory Healthcare  ,GA,Healthcare Provider,24000,12/15/2017,Unauthorized Access/Disclosure,Other,No,
90,Chilton Medical Center,NJ,Healthcare Provider,4600,12/15/2017,Theft,Other Portable Electronic Device,No,
91,NYU School of Medicine - Pediatric Surgery Associates,NY,Healthcare Provider,2158,12/15/2017,Improper Disposal,Paper/Films,No,
92,"Compassion Care Hospice Las Vegas, LLC",NV,Healthcare Provider,1128,12/14/2017,Hacking/IT Incident,Network Server,No,
93,Memphis Pathology Laboratory d/b/a American Esoteric Laboratory ,TN,Healthcare Provider,500,12/14/2017,Theft,Laptop,No,
94,"Kaiser Foundation Health Plan, Inc.",CA,Health Plan,4389,12/14/2017,Hacking/IT Incident,Email,No,
95,Midland County Hospital District d/b/a Midland Memorial Hospital  ,TX,Healthcare Provider,1160,12/12/2017,Hacking/IT Incident,Email,No,
96,Pharmacy Innovations,NY,Healthcare Provider,1205,12/12/2017,Hacking/IT Incident,Network Server,No,
97,"University of South Florida, USF Health Care",FL,Healthcare Provider,1279,12/11/2017,Unauthorized Access/Disclosure,Paper/Films,No,
98,"Franciscan Physician Network of Illinois and Specialty Physicians of Illinois, LLC (formerly known as WellGroup Health Partners, LLC)",IL,Healthcare Provider,22000,12/09/2017,Loss,Paper/Films,No,
99,Central Iowa Hospital Corporation d/b/a Blank Children's Hospital,IA,Healthcare Provider,557,12/08/2017,Unauthorized Access/Disclosure,Paper/Films,No,
100,UNC Health Care System,NC,Healthcare Provider,27113,12/08/2017,Theft,Desktop Computer,No,
101,Mount Carmel Health System,OH,Healthcare Provider,836,12/08/2017,Unauthorized Access/Disclosure,Email,No,
102,"Columbus Surgery Center, LLC ",NE,Healthcare Provider,7221,12/07/2017,Hacking/IT Incident,Network Server,No,
103,"Eye Physicians, P.C.",NE,Healthcare Provider,2620,12/07/2017,Hacking/IT Incident,Network Server,No,
104,Austin Manual Therapy Associates,TX,Healthcare Provider,1750,12/06/2017,Hacking/IT Incident,"Laptop, Network Server",No,
105,Bronson Healthcare Group,MI,Healthcare Provider,8256,12/05/2017,Hacking/IT Incident,Email,No,
106,Eclectic Chiropractic Rehab,MI,Healthcare Provider,650,12/05/2017,Unauthorized Access/Disclosure,Email,No,
107,Golden Rule Insurance Company,IN,Health Plan,9305,12/04/2017,Unauthorized Access/Disclosure,Network Server,No,
108,Sinai Health System ,IL,Healthcare Provider,11347,12/01/2017,Hacking/IT Incident,Email,No,
109,Henry Ford Health System,MI,Healthcare Provider,43563,12/01/2017,Theft,Email,No,
110,Washington Health System Greene,PA,Healthcare Provider,4145,12/01/2017,Theft,Other Portable Electronic Device,No,
111,"CCRM Minneapolis, P.C.",MN,Healthcare Provider,3280,12/01/2017,Hacking/IT Incident,Network Server,No,
112,Hackensack Sleep and Pulmonary Center,NJ,Healthcare Provider,16474,11/28/2017,Hacking/IT Incident,Network Server,No,
113,Alere Toxicology,MA,Healthcare Provider,2146,11/28/2017,Unauthorized Access/Disclosure,Paper/Films,No,
114,University of Alabama at Birmingham,AL,Healthcare Provider,652,11/27/2017,Loss,Other Portable Electronic Device,No,
115,"Pulmonary Specialists of Louisville, PSC",KY,Healthcare Provider,32000,11/27/2017,Hacking/IT Incident,Electronic Medical Record,No,
116,Sutter Valley Medical Foundation d/b/a Sutter Medical Foundation,CA,Healthcare Provider,1303,11/22/2017,Theft,Paper/Films,No,
117,Baptist Health Louisville,KY,Healthcare Provider,880,11/21/2017,Hacking/IT Incident,Email,No,
118,Humana Inc ,KY,Health Plan,5764,11/21/2017,Unauthorized Access/Disclosure,Other,No,
119,Metrocare Services,TX,Healthcare Provider,500,11/17/2017,Hacking/IT Incident,Email,No,
120,Clinical Pathology Laboratories Southeast,FL,Healthcare Provider,500,11/17/2017,Theft,Laptop,No,
121,"The Medical College of Wisconsin, Inc.",WI,Healthcare Provider,9500,11/17/2017,Hacking/IT Incident,Email,No,
122,Rocky Mountain Health Care Services,CO,Healthcare Provider,909,11/16/2017,Theft,Laptop,No,
123,Washington State Department of Social and Health Services,WA,Healthcare Provider,515,11/16/2017,Unauthorized Access/Disclosure,Email,No,
124,UPMC Susquehanna,PA,Healthcare Provider,1208,11/15/2017,Hacking/IT Incident,Email,No,
125,"Sports Medicine & Rehabilitation Therapy, Inc.",MA,Healthcare Provider,7000,11/14/2017,Hacking/IT Incident,Desktop Computer,No,
126,The Lowell General Hospital,MA,Healthcare Provider,769,11/10/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
127,"Otolaryngology Associates of Central New Jersey, P.C.",NJ,Healthcare Provider,1551,11/10/2017,Theft,Other,No,
128,The Center For Health Care Services ,TX,Healthcare Provider,501,11/08/2017,Theft,Paper/Films,No,
129,Aetna Inc.,CT,Health Plan,1600,11/08/2017,Unauthorized Access/Disclosure,Paper/Films,No,
130,Indiana University Health,IN,Healthcare Provider,1399,11/03/2017,Improper Disposal,Paper/Films,No,
131,Valley Family Medicine,VA,Healthcare Provider,8450,11/03/2017,Unauthorized Access/Disclosure,Paper/Films,No,
132,"Shop-Rite Supermarkets, Incorporated",NY,Healthcare Provider,12172,11/03/2017,Improper Disposal,Other Portable Electronic Device,No,
133,East Central Kansas Area Agency on Aging,KS,Business Associate,8750,10/31/2017,Hacking/IT Incident,Network Server,Yes,
134,Texas Children's Health Plan,TX,Health Plan,932,10/27/2017,Unauthorized Access/Disclosure,Email,No,
135,Florida Blue ,FL,Health Plan,939,10/27/2017,Unauthorized Access/Disclosure,Paper/Films,No,
136,Catholic Charities of the Diocese of Albany,NY,Healthcare Provider,4624,10/27/2017,Hacking/IT Incident,Network Server,No,
137,Cook County Health & Hospitals System,IL,Healthcare Provider,727,10/27/2017,Unauthorized Access/Disclosure,Network Server,No,
138,"Arch City Dental, LLC - Drs. Baloy and Donatelli",OH,Healthcare Provider,1716,10/26/2017,Unauthorized Access/Disclosure,Email,No,
139,"MGA Home Healthcare Colorado, Inc.",AZ,Healthcare Provider,2898,10/25/2017,Hacking/IT Incident,Email,No,
140,TJ Samson Community Hospital,KY,Healthcare Provider,683,10/24/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
141,Recovery Institute of the South East P.A.,FL,Healthcare Provider,689,10/21/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Laptop, Network Server, Other, Other Portable Electronic Device, Paper/Films",No,
142,Iowa Department of Human Services,IA,Health Plan,820,10/20/2017,Hacking/IT Incident,Email,No,
143,The Union Labor Life Insurance Company,MD,Business Associate,664,10/19/2017,Unauthorized Access/Disclosure,Email,Yes,
144,Mann-Grandstaff VA Medical Center,WA,Healthcare Provider,1915,10/19/2017,Theft,Other,No,
145,Insulet Corporation,MA,Healthcare Provider,1469,10/17/2017,Unauthorized Access/Disclosure,Other,No,
146,Martinsville Henry County Coalition for Health and Wellness,VA,Healthcare Provider,5806,10/13/2017,Theft,Laptop,No,
147,CVS Pharmacy,RI,Healthcare Provider,836,10/13/2017,Theft,Paper/Films,No,
148,Bridget P Early MD LLC d/b/a Namaste Health Care,MO,Healthcare Provider,1617,10/12/2017,Hacking/IT Incident,Network Server,No,
149,"Orthopedics NY, LLP",NY,Healthcare Provider,2493,10/12/2017,Unauthorized Access/Disclosure,Other,No,
150,"RiverMend Health, LLC",GA,Healthcare Provider,1300,10/09/2017,Hacking/IT Incident,Email,No,
151,Lifestyle Therapy & Coaching,AL,Healthcare Provider,550,10/09/2017,Unauthorized Access/Disclosure,Other,No,
152,John Hancock Life Insurance Company (U.S.A.),MA,Health Plan,1715,10/06/2017,Unauthorized Access/Disclosure,Other,No,
153,Amida Care,NY,Health Plan,6231,09/29/2017,Unauthorized Access/Disclosure,Paper/Films,No,
154,Briggs & Stratton Corporation,WI,Health Plan,12789,09/29/2017,Hacking/IT Incident,"Desktop Computer, Laptop, Network Server",No,
155,"Riaz Baber, M.D., S.C.",IL,Healthcare Provider,10500,09/28/2017,Unauthorized Access/Disclosure,Paper/Films,No,
156,Advanced Spine & Pain Center,TX,Healthcare Provider,8352,09/27/2017,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,
157,Patients Choice,TX,Healthcare Provider,1069,09/26/2017,Hacking/IT Incident,Network Server,No,
158,Houston Methodist Hospital,TX,Healthcare Provider,1359,09/25/2017,Unauthorized Access/Disclosure,Email,No,
159,Arkansas Oral & Facial Surgery Center ,AR,Healthcare Provider,128000,09/24/2017,Hacking/IT Incident,Network Server,No,
160,Our Lady of the Angels Hospital,LA,Healthcare Provider,1140,09/22/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
161,Spokane VA Medical Center,WA,Healthcare Provider,3275,09/20/2017,Loss,Laptop,No,
162,Mercy Health Love County Hospital and Clinic ,OK,Healthcare Provider,13004,09/20/2017,Theft,"Laptop, Paper/Films",No,
163,PeaceHealth,WA,Healthcare Provider,1969,09/19/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
164,MN Urology,MN,Healthcare Provider,939,09/18/2017,Unauthorized Access/Disclosure,Email,No,
165,"W. W. Grainger, Inc.",IL,Health Plan,1594,09/18/2017,Theft,Laptop,No,
166,Urological Associates of Central Jersey P.A.,NJ,Healthcare Provider,1800,09/18/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No,
167,The MS Center of Saint Louis and Mercy Clinic Neurology - Town and Country ,MO,Healthcare Provider,1081,09/16/2017,Unauthorized Access/Disclosure,Other,No,
168,"AU Medical Center, Inc.",GA,Healthcare Provider,6109,09/15/2017,Hacking/IT Incident,Email,No,
169,Arkansas Department of Human Services,AR,Health Plan,26000,09/15/2017,Unauthorized Access/Disclosure,Email,No,
170,Medical Mutual of Ohio,OH,Health Plan,6119,09/15/2017,Unauthorized Access/Disclosure,Email,No,
171,"Indiana Health Centers, Inc.",IN,Healthcare Provider,1697,09/12/2017,Theft,"Desktop Computer, Laptop",No,
172,Children's Hospital Colorado,CO,Healthcare Provider,3370,09/08/2017,Hacking/IT Incident,Email,No,
173,Network Health,WI,Health Plan,51232,09/08/2017,Hacking/IT Incident,Email,No,
174,Ridgeview Medical Center,MN,Healthcare Provider,1074,09/08/2017,Unauthorized Access/Disclosure,Email,No,
175,University of Wisconsin - Madison,WI,Healthcare Provider,1000,09/07/2017,Unauthorized Access/Disclosure,Paper/Films,No,
176,"Department of Human Services, Commonwealth of Pennsylvania",PA,Health Plan,517,09/07/2017,Unauthorized Access/Disclosure,Other,No,
177,Florida Healthy Kids Corporation,FL,Health Plan,2000,09/07/2017,Unauthorized Access/Disclosure,Other,No,
178,Community Memorial Health System,CA,Healthcare Provider,959,09/05/2017,Hacking/IT Incident,Email,No,
179,"CBS Consolidated, Inc.",NE,Business Associate,21856,09/05/2017,Hacking/IT Incident,Network Server,Yes,
180,State of Alaska Department of Health and Social Services,AK,Healthcare Provider,501,09/01/2017,Hacking/IT Incident,Desktop Computer,No,
181,Adult Internal Medicine of North Scottsdale,AZ,Healthcare Provider,11798,09/01/2017,Hacking/IT Incident,Network Server,No,
182,"Consultants Choice, P.A.",FL,Healthcare Provider,1458,09/01/2017,Hacking/IT Incident,Desktop Computer,No,
183,"The Neurology Foundation, Inc.",RI,Healthcare Provider,12861,09/01/2017,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record, Network Server, Other Portable Electronic Device, Paper/Films",No,
184,Mercy Hospital Logan County ,OK,Healthcare Provider,629,08/30/2017,Loss,Paper/Films,No,
185,Aetna Inc.,CT,Health Plan,11887,08/29/2017,Unauthorized Access/Disclosure,Paper/Films,No,
186,"Medical Oncology Hematology Consultants,PA",DE,Healthcare Provider,19203,08/29/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No,
187,"Waco Otolaryngology Associates d/b/a Waco Ear, Nose, & Throat",TX,Healthcare Provider,500,08/28/2017,Hacking/IT Incident,Network Server,No,
188,Kaleida Health,NY,Healthcare Provider,744,08/25/2017,Hacking/IT Incident,Email,No,
189,"McLaren Medical Group, Mid-Michigan Physicians Imaging Center",MI,Healthcare Provider,106008,08/24/2017,Hacking/IT Incident,Network Server,No,
190,"Oncology Consultants, P.A.",TX,Healthcare Provider,19114,08/22/2017,Hacking/IT Incident,"Desktop Computer, Email, Laptop, Network Server",No,
191,Feinstein and Roe Mds Inc.,CA,Healthcare Provider,6642,08/21/2017,Hacking/IT Incident,Network Server,No,
192,South Bend Orthopaedic Associates Inc,IN,Healthcare Provider,1272,08/18/2017,Theft,Laptop,No,
193,Mercy Family Medicine,CO,Healthcare Provider,2069,08/16/2017,Loss,Other Portable Electronic Device,No,
194,Salina Family Healthcare Center,KS,Healthcare Provider,77337,08/16/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Network Server",No,
195,TRUEbenefits LLC,WA,Business Associate,17309,08/14/2017,Hacking/IT Incident,Email,Yes,
196,MJHS Home Care,NY,Healthcare Provider,6000,08/11/2017,Hacking/IT Incident,Email,No,
197,Silver Cross Hospital,IL,Healthcare Provider,8862,08/11/2017,Unauthorized Access/Disclosure,Other,No,
198,Pacific Alliance Medical Center,CA,Healthcare Provider,266123,08/10/2017,Hacking/IT Incident,Network Server,No,
199,"MDeverywhere, Inc.",TX,Business Associate,1396,08/10/2017,Unauthorized Access/Disclosure,Other,Yes,
200,"St. Mark's Surgical Center, LLC",FL,Healthcare Provider,33877,08/09/2017,Hacking/IT Incident,Network Server,No,
201,National DCP Health Plan ,GA,Health Plan,1190,08/08/2017,Hacking/IT Incident,Email,No,
202,Surgical Dermatology Group,AL,Healthcare Provider,14000,08/05/2017,Hacking/IT Incident,Network Server,No,
203,"Elderplan, Inc. ",NY,Health Plan,22000,08/05/2017,Hacking/IT Incident,Email,No,
204,City of Hope,CA,Healthcare Provider,3400,08/03/2017,Hacking/IT Incident,Email,No,
205,Spectrum Health System,MI,Healthcare Provider,902,08/03/2017,Theft,Other Portable Electronic Device,No,
206,Bluetail Medical Group,MO,Healthcare Provider,11000,08/02/2017,Hacking/IT Incident,Desktop Computer,No,
207,Daniel Drake Center for Post-Acute Care,OH,Healthcare Provider,4721,08/01/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
208,Northwest Rheumatology,AZ,Healthcare Provider,7468,07/31/2017,Hacking/IT Incident,Network Server,No,
209,Braun Dermatology & Skin Cancer Center,DC,Healthcare Provider,1200,07/28/2017,Unauthorized Access/Disclosure,Email,No,
210,Plastic Surgery Associates of South Dakota,SD,Healthcare Provider,10229,07/27/2017,Hacking/IT Incident,Network Server,No,
211,Northwest Behavioral Healthcare Services,OR,Healthcare Provider,500,07/27/2017,Unauthorized Access/Disclosure,Email,No,
212,"Anthem, Inc.",IN,Health Plan,18580,07/24/2017,Unauthorized Access/Disclosure,Email,No,
213,"BlueCross BlueShield of TN, Inc.",TN,Health Plan,2117,07/21/2017,Unauthorized Access/Disclosure,Paper/Films,No,
214,The University of Vermont Medical Center,VT,Healthcare Provider,2300,07/21/2017,Hacking/IT Incident,Email,No,
215,Performance Physical Therapy and Wellness,CT,Healthcare Provider,571,07/21/2017,Hacking/IT Incident,Email,No,
216,Massachusetts Department of Public Health - Tewksbury Hospital,MA,Healthcare Provider,1176,07/21/2017,Unauthorized Access/Disclosure,Electronic Medical Record,No,
217,Kaleida Health,NY,Healthcare Provider,2789,07/21/2017,Hacking/IT Incident,Email,No,
218,"Vision Care Specialists, Inc.",CO,Healthcare Provider,703,07/20/2017,Theft,Paper/Films,No,
219,Metropolitan Life Insurance Company,NY,Health Plan,4220,07/19/2017,Unauthorized Access/Disclosure,Other,No,
220,"SAGE DENTAL MANAGEMENT, LLC",FL,Business Associate,5000,07/19/2017,Theft,Other,Yes,
221,"Women's Health Care Group of PA, LLC",PA,Healthcare Provider,300000,07/15/2017,Hacking/IT Incident,"Desktop Computer, Network Server",No,
222,"Braun Internal Medicine, P.C.",GA,Healthcare Provider,680,07/14/2017,Unauthorized Access/Disclosure,Email,No,
223,Detroit Medical Center,MI,Healthcare Provider,1529,07/13/2017,Theft,"Desktop Computer, Paper/Films",No,
224,Professional Counseling & Medical Associates,TN,Healthcare Provider,2500,07/13/2017,Hacking/IT Incident,Electronic Medical Record,No,
225,LC&Z General and Cosmetic Dentistry,FL,Healthcare Provider,4391,07/11/2017,Unauthorized Access/Disclosure,Email,No,
226,White Coats Wellness,FL,Business Associate,10000,07/10/2017,Hacking/IT Incident,Email,Yes,
227,"Andrea Yaley, DDS",CA,Healthcare Provider,1200,07/10/2017,Hacking/IT Incident,"Desktop Computer, Electronic Medical Record, Email, Network Server",No,
228,Rosalind Franklin University of Medicine ,IL,Healthcare Provider,859,07/09/2017,Hacking/IT Incident,Email,No,
229,Ledet Family Chiropractic Cener,PA,Healthcare Provider,530,07/09/2017,Hacking/IT Incident,Network Server,No,
